,Estimate,Std. Error,t value,Pr(>|t|),
(Intercept),-0.314124979,5.799990957,-0.054159564,0.956808077,
BRND_DESCChannel,6.139125976,5.814430828,1.055842981,0.291040913,
BRND_DESCDEKALB,4.795433031,5.810400036,0.825318911,0.409191295,
BRND_DESCFONTANELLE,2.53858016,5.85357348,0.433680412,0.664520883,
BRND_DESCGOLD COUNTRY,5.743599788,5.854911672,0.98098829,0.326599405,
BRND_DESCHERITAGE,0.018893298,6.06676403,0.00311423,0.99751521,
BRND_DESCHUBNER,2.66507538,5.849495448,0.455607736,0.648672449,
BRND_DESCJUNG,3.284803403,5.864706932,0.560096769,0.575413904,
BRND_DESCKRUGER,2.346659316,5.835014979,0.402168516,0.687560333,
BRND_DESCLEWIS,3.992934885,5.883959072,0.67861364,0.497383286,
BRND_DESCREA,13.36454995,5.909798317,2.261422342,0.023733917,.
BRND_DESCSPECIALTY,4.155031979,5.889048689,0.705552322,0.480467198,
BRND_DESCSTEWART,4.816804231,5.872964958,0.820165669,0.412122402,
BRND_DESCSTONE,3.871100287,5.870527594,0.659412672,0.509631375,
BRND_DESCTRELAY,0.20721566,5.948471915,0.034835108,0.972211252,
GNSQ_FYM1,0.666490547,0.001592908,418.4113279,0,***
GNSQ_sumLag,0.018689323,0.000276366,67.6251916,0,***
GNSQ_FYM1_other,0.000586726,0.001768848,0.331699418,0.7401165,
GNSQ_sumLag_other,0.000473183,0.000288789,1.638505577,0.101317449,
IL,0.426073878,0.440774869,0.966647392,0.333721209,
IA,-0.533767207,0.407819437,-1.308832193,0.190592325,
`MI/KY/IN`,-0.701252131,0.460524855,-1.522723745,0.127829018,
`MN/WI`,-0.061084036,0.398630277,-0.153234812,0.878213222,
`MO/KS/CO`,1.400238729,0.458444547,3.054325194,0.002255896,**
`ND/SD`,0.568353093,0.488085733,1.164453403,0.244241356,
NE,3.122162163,0.489404823,6.379508372,1.78E-10,***
`OH/NorthEastern`,-1.379510653,0.454053002,-3.038215027,0.00238007,**
MON_AREA_FYM1,-0.008142954,0.000314009,-25.93222605,4.41E-148,***
OPPO_CROP_AREA_FYM1,0.000267403,0.000156028,1.71380952,0.086564874,.
RECENCY_SCORE_FYM1,-0.028297686,0.001109963,-25.49425849,3.39E-143,***
FREQUENCY_SCORE_FYM1,-0.007044527,0.002774125,-2.539368738,0.011105833,*
MONETARY_SCORE_FYM1,0.031010056,0.004475514,6.928825512,4.25E-12,***
PURCH_PRBLTY_FYM1,0.256221958,0.007080255,36.18823659,4.63E-286,***
